/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 51 	f_index: 1132 	Manhattan norm: 4305744.0 	Per pixel: 18.688125
s_index: 51 	f_index: 1133 	Manhattan norm: 4423613.0 	Per pixel: 19.1997092014
s_index: 51 	f_index: 1134 	Manhattan norm: 4412368.0 	Per pixel: 19.1509027778
s_index: 51 	f_index: 1135 	Manhattan norm: 4399651.0 	Per pixel: 19.0957074653
s_index: 51 	f_index: 1136 	Manhattan norm: 4422087.0 	Per pixel: 19.1930859375
s_index: 51 	f_index: 1137 	Manhattan norm: 4353379.0 	Per pixel: 18.8948741319
s_index: 51 	f_index: 1138 	Manhattan norm: 4413314.0 	Per pixel: 19.1550086806
s_index: 51 	f_index: 1139 	Manhattan norm: 4442538.0 	Per pixel: 19.2818489583
s_index: 51 	f_index: 1140 	Manhattan norm: 4484191.0 	Per pixel: 19.4626345486
s_index: 51 	f_index: 1141 	Manhattan norm: 4368000.0 	Per pixel: 18.9583333333
s_index: 51 	f_index: 1142 	Manhattan norm: 4384199.0 	Per pixel: 19.0286414931
s_index: 51 	f_index: 1143 	Manhattan norm: 4530849.0 	Per pixel: 19.6651432292
s_index: 51 	f_index: 1144 	Manhattan norm: 4503240.0 	Per pixel: 19.5453125
s_index: 51 	f_index: 1145 	Manhattan norm: 4568702.0 	Per pixel: 19.8294357639
s_index: 51 	f_index: 1146 	Manhattan norm: 4574855.0 	Per pixel: 19.8561414931
s_index: 51 	f_index: 1147 	Manhattan norm: 4561641.0 	Per pixel: 19.7987890625
s_index: 51 	f_index: 1148 	Manhattan norm: 4385659.0 	Per pixel: 19.0349782986
s_index: 51 	f_index: 1149 	Manhattan norm: 4403829.0 	Per pixel: 19.1138411458
s_index: 51 	f_index: 1150 	Manhattan norm: 9887177.0 	Per pixel: 42.9130946181
s_index: 51 	f_index: 1151 	Manhattan norm: 9407155.0 	Per pixel: 40.8296657986
s_index: 51 	f_index: 1152 	Manhattan norm: 9267435.0 	Per pixel: 40.2232421875
s_index: 51 	f_index: 1153 	Manhattan norm: 9312307.0 	Per pixel: 40.4179991319
s_index: 51 	f_index: 1154 	Manhattan norm: 9480906.0 	Per pixel: 41.149765625
s_index: 51 	f_index: 1155 	Manhattan norm: 9584903.0 	Per pixel: 41.6011414931
s_index: 51 	f_index: 1156 	Manhattan norm: 9421535.0 	Per pixel: 40.8920789931
s_index: 51 	f_index: 1157 	Manhattan norm: 9263349.0 	Per pixel: 40.2055078125
s_index: 51 	f_index: 1158 	Manhattan norm: 9678691.0 	Per pixel: 42.0082074653
s_index: 51 	f_index: 1159 	Manhattan norm: 9758110.0 	Per pixel: 42.3529079861
s_index: 51 	f_index: 1160 	Manhattan norm: 9508084.0 	Per pixel: 41.2677256944
s_index: 51 	f_index: 1161 	Manhattan norm: 9585260.0 	Per pixel: 41.6026909722
s_index: 51 	f_index: 1162 	Manhattan norm: 9316815.0 	Per pixel: 40.4375651042
s_index: 51 	f_index: 1163 	Manhattan norm: 8960334.0 	Per pixel: 38.8903385417
s_index: 51 	f_index: 1164 	Manhattan norm: 8852427.0 	Per pixel: 38.4219921875
s_index: 51 	f_index: 1165 	Manhattan norm: 9356375.0 	Per pixel: 40.6092664931
s_index: 51 	f_index: 1166 	Manhattan norm: 9346880.0 	Per pixel: 40.5680555556
s_index: 51 	f_index: 1167 	Manhattan norm: 9062068.0 	Per pixel: 39.3318923611
s_index: 51 	f_index: 1168 	Manhattan norm: 8755571.0 	Per pixel: 38.0016102431
s_index: 51 	f_index: 1169 	Manhattan norm: 8714329.0 	Per pixel: 37.8226085069
s_index: 51 	f_index: 1170 	Manhattan norm: 8668592.0 	Per pixel: 37.6240972222
s_index: 51 	f_index: 1171 	Manhattan norm: 8868523.0 	Per pixel: 38.4918532986
s_index: 51 	f_index: 1172 	Manhattan norm: 8833659.0 	Per pixel: 38.3405338542
s_index: 51 	f_index: 1173 	Manhattan norm: 8852517.0 	Per pixel: 38.4223828125
s_index: 51 	f_index: 1174 	Manhattan norm: 9843171.0 	Per pixel: 42.7220963542
s_index: 51 	f_index: 1175 	Manhattan norm: 10032081.0 	Per pixel: 43.5420182292
s_index: 51 	f_index: 1176 	Manhattan norm: 10011427.0 	Per pixel: 43.4523741319
s_index: 51 	f_index: 1177 	Manhattan norm: 9986742.0 	Per pixel: 43.345234375
s_index: 51 	f_index: 1178 	Manhattan norm: 9254545.0 	Per pixel: 40.1672960069
s_index: 51 	f_index: 1179 	Manhattan norm: 8576599.0 	Per pixel: 37.2248220486
s_index: 51 	f_index: 1180 	Manhattan norm: 4427128.0 	Per pixel: 19.2149652778
s_index: 51 	f_index: 1181 	Manhattan norm: 4416077.0 	Per pixel: 19.1670008681
s_index: 51 	f_index: 1182 	Manhattan norm: 4389543.0 	Per pixel: 19.0518359375
s_index: 51 	f_index: 1183 	Manhattan norm: 4392661.0 	Per pixel: 19.0653689236
s_index: 51 	f_index: 1184 	Manhattan norm: 4382772.0 	Per pixel: 19.0224479167
s_index: 51 	f_index: 1185 	Manhattan norm: 4372954.0 	Per pixel: 18.9798350694
s_index: 51 	f_index: 1186 	Manhattan norm: 4391374.0 	Per pixel: 19.0597829861
s_index: 51 	f_index: 1187 	Manhattan norm: 4374035.0 	Per pixel: 18.9845269097
s_index: 51 	f_index: 1188 	Manhattan norm: 4448640.0 	Per pixel: 19.3083333333
s_index: 51 	f_index: 1189 	Manhattan norm: 4431235.0 	Per pixel: 19.2327907986
s_index: 51 	f_index: 1190 	Manhattan norm: 4428247.0 	Per pixel: 19.2198220486
s_index: 51 	f_index: 1191 	Manhattan norm: 10384329.0 	Per pixel: 45.0708723958
s_index: 51 	f_index: 1192 	Manhattan norm: 10287216.0 	Per pixel: 44.649375
s_index: 51 	f_index: 1193 	Manhattan norm: 9953027.0 	Per pixel: 43.1989019097
s_index: 51 	f_index: 1194 	Manhattan norm: 9758062.0 	Per pixel: 42.3526996528
s_index: 51 	f_index: 1195 	Manhattan norm: 10042623.0 	Per pixel: 43.5877734375
s_index: 51 	f_index: 1196 	Manhattan norm: 4449152.0 	Per pixel: 19.3105555556
s_index: 51 	f_index: 1197 	Manhattan norm: 4382379.0 	Per pixel: 19.0207421875
s_index: 51 	f_index: 1198 	Manhattan norm: 4395456.0 	Per pixel: 19.0775
s_index: 51 	f_index: 1199 	Manhattan norm: 4442924.0 	Per pixel: 19.2835243056
s_index: 51 	f_index: 1200 	Manhattan norm: 4381494.0 	Per pixel: 19.0169010417
s_index: 51 	f_index: 1201 	Manhattan norm: 4436759.0 	Per pixel: 19.2567664931
s_index: 51 	f_index: 1202 	Manhattan norm: 4406768.0 	Per pixel: 19.1265972222
s_index: 51 	f_index: 1203 	Manhattan norm: 4385398.0 	Per pixel: 19.0338454861
s_index: 51 	f_index: 1204 	Manhattan norm: 4366407.0 	Per pixel: 18.9514192708
s_index: 51 	f_index: 1205 	Manhattan norm: 4328426.0 	Per pixel: 18.7865711806
s_index: 51 	f_index: 1206 	Manhattan norm: 4429127.0 	Per pixel: 19.2236414931
s_index: 51 	f_index: 1207 	Manhattan norm: 4403555.0 	Per pixel: 19.1126519097
s_index: 51 	f_index: 1208 	Manhattan norm: 4294943.0 	Per pixel: 18.6412456597
s_index: 51 	f_index: 1209 	Manhattan norm: 4327318.0 	Per pixel: 18.7817621528
s_index: 51 	f_index: 1210 	Manhattan norm: 4371732.0 	Per pixel: 18.97453125
s_index: 51 	f_index: 1211 	Manhattan norm: 4446842.0 	Per pixel: 19.3005295139
s_index: 51 	f_index: 1212 	Manhattan norm: 4454376.0 	Per pixel: 19.3332291667
