/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 51 	f_index: 1190 	Manhattan norm: 4210616.98429 	Per pixel: 18.2752473277
s_index: 51 	f_index: 1191 	Manhattan norm: 18518306.5487 	Per pixel: 80.3745943955
s_index: 51 	f_index: 1192 	Manhattan norm: 18852063.5537 	Per pixel: 81.8231925072
s_index: 51 	f_index: 1193 	Manhattan norm: 19221675.7628 	Per pixel: 83.4274121649
s_index: 51 	f_index: 1194 	Manhattan norm: 18574844.0983 	Per pixel: 80.6199830655
s_index: 51 	f_index: 1195 	Manhattan norm: 17735904.4999 	Per pixel: 76.9787521699
s_index: 51 	f_index: 1196 	Manhattan norm: 4430364.99039 	Per pixel: 19.2290147152
s_index: 51 	f_index: 1197 	Manhattan norm: 4317599.5877 	Per pixel: 18.7395815438
s_index: 51 	f_index: 1198 	Manhattan norm: 4326261.86463 	Per pixel: 18.7771782319
s_index: 51 	f_index: 1199 	Manhattan norm: 4347107.76161 	Per pixel: 18.8676552153
s_index: 51 	f_index: 1200 	Manhattan norm: 4378984.66711 	Per pixel: 19.0060098399
s_index: 51 	f_index: 1201 	Manhattan norm: 4333043.21494 	Per pixel: 18.8066111759
s_index: 51 	f_index: 1202 	Manhattan norm: 4415355.51346 	Per pixel: 19.163869416
s_index: 51 	f_index: 1203 	Manhattan norm: 4308754.64823 	Per pixel: 18.7011920496
s_index: 51 	f_index: 1204 	Manhattan norm: 4105737.65185 	Per pixel: 17.8200418917
s_index: 51 	f_index: 1205 	Manhattan norm: 4017533.70426 	Per pixel: 17.4372122581
s_index: 51 	f_index: 1206 	Manhattan norm: 4236098.39357 	Per pixel: 18.3858437221
s_index: 51 	f_index: 1207 	Manhattan norm: 4098214.14267 	Per pixel: 17.787387772
